mode,method,target,rmse_global,rmse_nonSensor,queue_busy_rmse,queue_idle_fp,thr_idle_fp,delay_idle_fp
lead1,zero,queue_pkts,21.25090847731247,0.0,83.43414854157226,0.0,,
lead1,zero,throughput_Mbps,1.2486813148540006,0.0015870917170081,,,0.0,
lead1,zero,utilization,0.355886766051246,1.587091742154077e-06,,,,
lead1,zero,qdelay_ms,332.54698143974974,332.54698143974974,,,,0.0
lead1,persistence,queue_pkts,2.3359509127262643,0.0,7.397296803562772,0.0007920792079207,,
lead1,persistence,throughput_Mbps,0.1897568391043494,0.0021228003394173,,,0.0064837905236907,
lead1,persistence,utilization,0.0573395882426633,2.122800379729996e-06,,,,
lead1,persistence,qdelay_ms,42.17937525596568,42.17937525596568,,,,0.234375
lead1,ar1,queue_pkts,2.330639921769667,0.0,7.405244253514069,0.0007920792079207,,
lead1,ar1,throughput_Mbps,0.227766376634091,0.0015785902768126,,,0.0064837905236907,
lead1,ar1,utilization,0.0571982800077044,1.5869884155231536e-06,,,,
lead1,ar1,qdelay_ms,42.20161643847636,42.20161643847636,,,,0.25
lead1,kalman_queue,queue_pkts,3.494672910191887,8.57372887617784e-146,10.640840823758571,0.0007920792079207,,
lead1,gnn_ens,queue_pkts,3.689436891568259,0.0,13.025462436821964,0.0003960396039603,,
lead1,gnn_ens,throughput_Mbps,0.2115358039237399,0.0050967194205271,,,0.1875311720698254,
lead1,gnn_ens,utilization,0.0783039735921539,0.0004403377422186,,,,
lead1,gnn_ens,qdelay_ms,86.61229473227733,78.03728781064274,,,,1.0
