PING 10.0.0.14 (10.0.0.14) 56(84) bytes of data.
64 bytes from 10.0.0.14: icmp_seq=1 ttl=64 time=31.7 ms
64 bytes from 10.0.0.14: icmp_seq=2 ttl=64 time=27.6 ms
64 bytes from 10.0.0.14: icmp_seq=3 ttl=64 time=33.8 ms
64 bytes from 10.0.0.14: icmp_seq=4 ttl=64 time=29.8 ms
64 bytes from 10.0.0.14: icmp_seq=5 ttl=64 time=30.0 ms
64 bytes from 10.0.0.14: icmp_seq=6 ttl=64 time=28.2 ms
64 bytes from 10.0.0.14: icmp_seq=7 ttl=64 time=36.6 ms
64 bytes from 10.0.0.14: icmp_seq=8 ttl=64 time=31.8 ms
64 bytes from 10.0.0.14: icmp_seq=9 ttl=64 time=38.9 ms
64 bytes from 10.0.0.14: icmp_seq=10 ttl=64 time=29.1 ms
64 bytes from 10.0.0.14: icmp_seq=11 ttl=64 time=34.5 ms
64 bytes from 10.0.0.14: icmp_seq=12 ttl=64 time=29.0 ms
64 bytes from 10.0.0.14: icmp_seq=13 ttl=64 time=35.5 ms
64 bytes from 10.0.0.14: icmp_seq=14 ttl=64 time=30.1 ms
64 bytes from 10.0.0.14: icmp_seq=15 ttl=64 time=28.9 ms
64 bytes from 10.0.0.14: icmp_seq=16 ttl=64 time=30.2 ms
64 bytes from 10.0.0.14: icmp_seq=17 ttl=64 time=28.5 ms
64 bytes from 10.0.0.14: icmp_seq=18 ttl=64 time=31.4 ms
64 bytes from 10.0.0.14: icmp_seq=19 ttl=64 time=32.0 ms
64 bytes from 10.0.0.14: icmp_seq=20 ttl=64 time=33.4 ms
64 bytes from 10.0.0.14: icmp_seq=21 ttl=64 time=34.4 ms
64 bytes from 10.0.0.14: icmp_seq=22 ttl=64 time=46.5 ms
64 bytes from 10.0.0.14: icmp_seq=23 ttl=64 time=32.1 ms
64 bytes from 10.0.0.14: icmp_seq=24 ttl=64 time=31.1 ms
64 bytes from 10.0.0.14: icmp_seq=25 ttl=64 time=31.4 ms
64 bytes from 10.0.0.14: icmp_seq=26 ttl=64 time=36.7 ms
